"PyDev - Editor","Next Method or Class","Shift+Ctrl+Down","PyDev editor scope"
"Text Editing","Delete Previous","Ctrl+H","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Swap Mark","Ctrl+X Ctrl+X","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"PyDev - Editor","Remove Comment Block","Ctrl+5","PyDev editor scope"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Edit","Delete","Delete","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"PyDev - Run","Run editor with current interpreter","F9","PyDev editor scope"
"PyDev - Run","Run custom tests","Ctrl+F9","PyDev editor scope"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Edit","Find and Replace","Esc R","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"PyDev - Editor","Add Comment Block","Ctrl+4","PyDev editor scope"
"pepticcategory","Extract Local Variable...","Shift+Alt+T L","PyDev editor scope"
"Edit","Undo","F9","In Windows"
"File","Print","Esc F9","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"File","New menu","Shift+Alt+N","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"PyDev - Editor","Python Show Global Tokens (Global)","Shift+Ctrl+T","PyDev view"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Changelog","Prepare Changelog","Ctrl+Alt+P","In Windows"
"File","Save","Ctrl+S","In Windows"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Text Start","Esc Shift+<","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Edit","Redo","F10","In Windows"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Text Editing","Next Word","Alt+F","Editing Text"
"File","New","Ctrl+N","In Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"pepticcategory","Override/Implement Methods...","Shift+Alt+T O","PyDev editor scope"
"Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"PyDev - Editor","Python Collapse","Ctrl+Numpad_Subtract","PyDev editor scope"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Window","Switch to Editor","Ctrl+X Ctrl+B","In Windows"
"Text Editing","Page Up","Esc V","Editing Text"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Text Editing","Text Start","Esc <","Editing Text"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Comparing in an Editor"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Editor Commands","Download Sources","Shift+Ctrl+R D","Specfile Editor Context"
"PyDev - Editor","Python Go To Definition","F3","PyDev editor scope"
"PyDev - Run","Terminate all launches","Ctrl+Alt+F9","PyDev editor scope"
"Edit","Context Information","Alt+?","In Windows"
"Text Editing","Cut to End of Line","Ctrl+K","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
